Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Roti Michele,"Tipologia: letteraIncipit: ""Spero che questa volta Bastiano mi doverà portar avviso della recuperata perfetta salute ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 41, c. 61r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,11/04/1681,Campestri,Firenze,Viviani Vincenzo,1681
Tomati Lapi Maddalena,"Tipologia: letteraIncipit: ""Mi compatirà l'innata benignità di Vostra Signoria Illustrissima, se prima di adesso ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 42, c. 62r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomati Lapi Maddalena a Viviani Vincenzo,12/04/1681,Roma,Firenze,Viviani Vincenzo,1681
Roti Michele,"Tipologia: letteraIncipit: ""Se Vostra Signoria Illustrissima senz'altre cerimonie m'avviserà ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 43, c. 63r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,17/04/1681,Cistio,Firenze,Viviani Vincenzo,1681
Roti Michele,"Tipologia: letteraIncipit: ""Sabato prossimo futuro farò che sia in Firenze almeno un cavallo e le stanghe da calesse ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 44, c. 64r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,21/04/1681,Cistio,Firenze,Viviani Vincenzo,1681
Roti Michele,"Tipologia: letteraIncipit: ""Mando il mio cocchiere con un solo cavallo per servire ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 45, c. 65r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,25/04/1681,Cistio,Firenze,Viviani Vincenzo,1681
Tomati Lapi Maddalena,"Tipologia: letteraIncipit: ""Dalla lettera di Vostra Signoria Illustrissima hò veduto il suo bene stare come anche di tutta la casa, ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 46, c. 66r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomati Lapi Maddalena a Viviani Vincenzo,26/04/1681,Roma,Firenze,Viviani Vincenzo,1681
Roti Michele,"Tipologia: letteraIncipit: ""Vostra Signoria Illustrissima nel tempo della sua Purga attenda alla sua sanità, ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 47, c. 67r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,29/04/1681,Cistio,Firenze,Viviani Vincenzo,1681
Panciatichi Francesco,"Tipologia: letteraIncipit: ""E' stato qui oggi il Signor Ramponi, et si è discorso del negozio ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 48, c. 68r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Idraulica,Panciatichi Francesco a Viviani Vincenzo,5/05/1681,Castello,Firenze,Viviani Vincenzo,1681
Panciatichi Francesco,"Tipologia: letteraIncipit: ""Mi comanda il Padrone Serenissimo di significare a Vostra Signoria Eccellentissima che se ella ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 49, c. 69r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Idraulica,Panciatichi Francesco a Viviani Vincenzo,12/05/1681,Castello,Firenze,Viviani Vincenzo,1681
Landini Francesco,"Tipologia: letteraIncipit: ""Da uno amorevole amico di Radda che mi ha trovato qui in casa ora ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 50, c. 70r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Landini Francesco a Viviani Vincenzo,20/05/1681,,Firenze,Viviani Vincenzo,1681
Ramponi Jacopo,"Tipologia: letteraIncipit: ""Ier sera all'hore 24 di notte comparse il Bianchino, che per appunto ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 51, c. 72r<br/>
</td>","Bianchini,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Ramponi Jacopo a Viviani Vincenzo,28/05/1681,Bella Vista,Firenze,Viviani Vincenzo,1681
Panciatichi Francesco,"Tipologia: letteraIncipit: ""Essendo tornato da Bellavista il Signor Ramponi mi comanda il Padron Serenissimo di scrivere ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 52, c. 74r<br/>
</td>","Ramponi,(citato.)Cosimo III, granduca di Toscana, 1642-1723,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Panciatichi Francesco a Viviani Vincenzo,8/06/1681,,Firenze,Viviani Vincenzo,1681
Roti Michele,"Tipologia: letteraIncipit: ""Domani a vespro il nostro Signor Luigi sarebbe in comodo di favorirmi ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 53, c. 75r<br/>
</td>","Del Riccio, Luigi, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,21/06/1681,Campestri,Firenze,Viviani Vincenzo,1681
Tomati Lapi Maddalena,"Tipologia: letteraIncipit: ""Gia scrissi a Vostra Signoria Illustrissima che stante l'assenza del mio Procuratore ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 54, c. 77r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Frescobaldi, sec. XVII,(citato.)Lapi, Alessandro, sec. XVII,(citato.)Nardini, Francesco, sec. XVII,(citato.)Serni, Filippo, sec. XVII,(citato.)Viviani, Porzia, sec. XVII,(citato.)",Argomenti privati,Tomati Lapi Maddalena a Viviani Vincenzo,19/07/1681,Roma,Firenze,Viviani Vincenzo,1681
